Category,Skill,Confidence (1-5),Notes
Technical,Implement vector search from scratch,,
Technical,Build and deploy RAG systems,,
Technical,Design chunking strategies for different content types,,
Technical,Evaluate retrieval quality with metrics,,
Technical,Implement hybrid search (sparse + dense),,
Technical,Work with multiple vector databases,,
Technical,Build production APIs with FastAPI,,
Technical,Handle conversation memory and context,,
Technical,Engineer prompts for better LLM outputs,,
Technical,Deploy containerized applications,,
Soft Skills,Break down complex problems,,
Soft Skills,Make architecture decisions,,
Soft Skills,Debug production issues,,
Soft Skills,Document work professionally,,
Soft Skills,Explain technical concepts clearly,,
